"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1849943727105769869","Sat Oct 26 23:46:06 +0000 2024","0","@hipohan Parah tolol banget Haha... kenapa yg diangkat jadi pejabat menter wamen di pemerintahan pak @jokowi dan pak @prabowo kualitasnya abu abu dan asal comot? Bikin malu wibawa negara saja. Semoga pak @prabowo segera mengevaluasi para menteri dan wamennya. @ernestprakasa @msaid_didu","1850323049461293289","","hipohan","in","","0","0","0","https://x.com/AriefElkar80781/status/1850323049461293289","1824737803231711233","AriefElkar80781"
"1850142018074488855","Sat Oct 26 23:46:06 +0000 2024","0","@tham878 Rakyat tidak butuh pencitraan tapi kerja nyata dan Jujur. Pak @prabowo tolong dijaga menterinya tidak Nyolong ya . Soalnya ada bbrp menteri lamanya itu ada tersandung kasus korupsi tp gak ada berani ungkap? Moga bisa kerja dgn benar saja","1850323046516887710","","tham878","in","","0","0","0","https://x.com/jhonnythom/status/1850323046516887710","1617078199053348864","jhonnythom"
"1849014012861952345","Sat Oct 26 23:44:18 +0000 2024","0","@AmbarsariTania @Kadir_Karding Semangat terus buat Menteri @Kadir_Karding dan timnya! Harapannya bisa memberikan perlindungan yang lebih baik buat pekerja migran kita.","1850322593544614274","","AmbarsariTania","in","Jambi","0","0","0","https://x.com/hajor423/status/1850322593544614274","757094251020910592","hajor423"
"1849980453530534147","Sat Oct 26 23:44:17 +0000 2024","0","@mohmahfudmd Semangat pak menteri saya dukung","1850322588188455321","","mohmahfudmd","in","Indonesia","0","0","0","https://x.com/ismailhendra85/status/1850322588188455321","1878157164","ismailhendra85"
"1850093780243972104","Sat Oct 26 23:44:12 +0000 2024","1","@Tan_Mar3M Bagus itu para menteri yang tidak se-visi mulai merasa risih... lanjutkan bang ","1850322569989398734","","Tan_Mar3M","in","","0","0","0","https://x.com/diponegoro711/status/1850322569989398734","855768581455265796","diponegoro711"
"1849985476943589708","Sat Oct 26 23:43:44 +0000 2024","0","@S4N_W1B1 @prabowo selesaikan menteri ini ","1850322451160588577","","S4N_W1B1","in","","0","0","0","https://x.com/jahidsunarya613/status/1850322451160588577","1767229641914454017","jahidsunarya613"
"1850322307866304998","Sat Oct 26 23:43:10 +0000 2024","0","Jangan² para pejabat dg rekam jejak buruk sengaja diangkat jadi menteri supaya ngasih kesempatan netijen mengungkapkan keburuk²annya.","1850322307866304998","","","in","","0","0","0","https://x.com/RinaDebe/status/1850322307866304998","1060867753991520256","RinaDebe"
"1849775926722404465","Sat Oct 26 23:42:27 +0000 2024","0","@B_dzoel Banyak kog saudara Papua yg memiliki kualitas dan pemikiran yg OK knp jg hrs org mcm ini yg jd Menteri yaa","1850322130078204125","","B_dzoel","in","","0","0","0","https://x.com/harimuklas1/status/1850322130078204125","874722952226283521","harimuklas1"
"1849964790254575873","Sat Oct 26 23:42:01 +0000 2024","1","@hnirankara Eneg gue liat menteri ini","1850322019533107570","","hnirankara","in","","0","0","0","https://x.com/FPalestine1986/status/1850322019533107570","1751776821274939392","FPalestine1986"
"1850093780243972104","Sat Oct 26 23:41:38 +0000 2024","1","@Tan_Mar3M Beliau itu posisi @setkabgoid lho bukan ajudan dan skala administrasi menteri memang wewenang .. literasi mode on.. Keloga soale di sekneg","1850321924225929411","","Tan_Mar3M","in","malaysia","0","0","0","https://x.com/AIADigibuy/status/1850321924225929411","1603540919474458624","AIADigibuy"
"1850097556912783396","Sat Oct 26 23:41:14 +0000 2024","0","@msaid_didu Para menteri seken","1850321824770646053","","msaid_didu","in","","0","0","0","https://x.com/MLearntorock/status/1850321824770646053","986070976449339392","MLearntorock"
"1850186101023207774","Sat Oct 26 23:40:58 +0000 2024","6","@kegblgnunfaedh Setuju aj .. Asal .. 1. Fasilitas yg disediakan setara yg dipakai Menteri Diklat 2. Segala Biaya di tanggung Negara 3. Dapat Gaji dan Tunjangan rutin selama WaMil 4. Jaminan dapat Kerja 5. Jaminan Hidup Layak ","1850321753979101252","","kegblgnunfaedh","in","Ampel Denta Suroboyo East Java","1","1","0","https://x.com/alleySych/status/1850321753979101252","856675823318781952","alleySych"
