"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1853225078210924607","Sun Nov 03 23:57:44 +0000 2024","27","Penangkapannya kan baru minggu lalu. Tapi nerima suapnya kan udah sejak lama. Sejak masih jadi bawahan menteri yang lama. Kalau menteri yang lama mau cuci tangan ya kita ketawain aja","1853225078210924607","","","in","","1","2","12","https://x.com/BiLLYKHAERUDIN/status/1853225078210924607","49383672","BiLLYKHAERUDIN"
"1853160037235269792","Sun Nov 03 23:56:36 +0000 2024","0","@satriohendri Menteri titipan sepertinya akan diganti ","1853224791291133957","","satriohendri","in","","0","0","0","https://x.com/ManduMiu27/status/1853224791291133957","1713455443153133568","ManduMiu27"
"1852338604179374164","Sun Nov 03 23:53:36 +0000 2024","0","@kegblgnunfaedh Mau buat partai kali ini menteri...","1853224037327200575","","kegblgnunfaedh","in","","0","0","0","https://x.com/SyarwaniMln/status/1853224037327200575","1787840069275209728","SyarwaniMln"
"1853088181039870083","Sun Nov 03 23:52:40 +0000 2024","0","@wrahardian2 @bengkeldodo Menurutku Klu presiden..wapres..menteri butuh info atau nasihat atau apalah dari Pak Joko.. Ya atas nama negara dipanggil aja ke Istana. Sebagai imbalnya ya diberi honor sesuai index yg ditetapkan. KLU PADA WIRA WIRI KE SOLO...KESANYA GIMANA bisa multi tafsir","1853223800965603400","","wrahardian2","in","","0","0","0","https://x.com/FashionIin/status/1853223800965603400","1519252466281623552","FashionIin"
"1852571378328997915","Sun Nov 03 23:52:31 +0000 2024","0","@kegblgnunfaedh Jiaahhh yg disuruh malah menteri yg punya masalah noh @KemenBUMN dibenerin dulu ","1853223765813109161","","kegblgnunfaedh","in","Cengkareng, Indonesia","0","0","0","https://x.com/gian_gians/status/1853223765813109161","3185922878","gian_gians"
"1853031991936954409","Sun Nov 03 23:50:05 +0000 2024","0","@ilhampid Orang india di jadikan menteri","1853223154858262805","","ilhampid","in","","0","2","0","https://x.com/sastri200531/status/1853223154858262805","1772870402613927936","sastri200531"
"1853222668755255667","Sun Nov 03 23:48:10 +0000 2024","42","Oknum2 ASN Kementrian Kominfo yg di tangkap harus segera di proses &amp; diselidiki siapakah Toni Tomang dan siapakah Adi Valen Kismanto? Bagaimana kerjasama mereka? Benarkah dugaan Menteri Budi Arie terlibat? Kita berharap @pidum_bareskrim @ListyoSigitP mengungkap hal ini !!","1853222668755255667","","","in","DKI Jakarta, Indonesia","2","3","18","https://x.com/f_fathur/status/1853222668755255667","57082635","f_fathur"
"1853064269065224627","Sun Nov 03 23:47:39 +0000 2024","7","@SammiSoh Tak lazim J&amp;J Indonesia telah sengaja menghalalkan semua scr permanen (mengingat industri halal kita sudah rusak akibat mantan Menteri Agama kita)","1853222541785256299","","SammiSoh","in","Jambi, Indonesia","0","0","0","https://x.com/firzafp/status/1853222541785256299","717163508920504320","firzafp"
"1852740635293626861","Sun Nov 03 23:45:25 +0000 2024","0","@Kacaback678910 @aniesbaswedan @ganjarpranowo Yg asyik itu psi dia ngasih piagam kebohongan sama Prabowo di balas di kasih menteri...asyik kan asyik banget .","1853221976678318370","","Kacaback678910","in","","0","0","0","https://x.com/andywij47013495/status/1853221976678318370","1651073526525485056","andywij47013495"
"1852985106908225805","Sun Nov 03 23:44:44 +0000 2024","0","@dumb_ledor3 @Ichavarma_ Beda Menteri pendidikan","1853221806813147295","","dumb_ledor3","in","Jakarta Capital Region","0","0","0","https://x.com/siope34240/status/1853221806813147295","1819729577893318656","siope34240"
"1853221673165824469","Sun Nov 03 23:44:12 +0000 2024","11","Ijin dululah Krn menteri yg ada adalah titipannya jd sebelum dipecat atau diminta mundur maka unggah ungguhe wong Djowo Kulo nuwun dulu.","1853221673165824469","","","in","Qatar","0","1","2","https://x.com/Kacaback678910/status/1853221673165824469","1111595565232459776","Kacaback678910"
"1853201752021168422","Sun Nov 03 23:42:52 +0000 2024","0","@msaid_didu Ijin nangkep salah satu menteri seken","1853221337088852358","","msaid_didu","in","Alighard","0","0","0","https://x.com/AvocadoSion/status/1853221337088852358","1718633448452337664","AvocadoSion"
"1853013037424505022","Sun Nov 03 23:41:26 +0000 2024","0","@AirinDatangLagi Yg beginian kok jadi menteri sihh..????","1853220974587678772","","AirinDatangLagi","in","","0","0","0","https://x.com/BudiKusno4/status/1853220974587678772","1521836481371062272","BudiKusno4"
"1853111030442086549","Sun Nov 03 23:41:06 +0000 2024","0","@Intel_Imut Hasil dari solo meeting .. Menteri titipan Mulyono terpaksa masuk prodeo ","1853220890982719749","","Intel_Imut","in","","0","0","0","https://x.com/ManduMiu27/status/1853220890982719749","1713455443153133568","ManduMiu27"
"1853217849357242696","Sun Nov 03 23:39:47 +0000 2024","6","@DonesiaRini @prabowo @BosPurwa Menteri titipan Mulyono","1853220559758537029","","DonesiaRini","in","Jakarta, Medan ","0","0","0","https://x.com/PaltiWest2024/status/1853220559758537029","1826886526657318912","PaltiWest2024"
"1853052638520308080","Sun Nov 03 23:39:20 +0000 2024","0","@CNNIndonesia Bagi susu semangat. Di gembleng fisik bersama menteri biar bersinergi dalam kebersamaan malah kabur ","1853220448433234373","","CNNIndonesia","in","","0","0","0","https://x.com/HembusanFITNAH/status/1853220448433234373","1603592126322745344","HembusanFITNAH"
"1852720690262430079","Sun Nov 03 23:38:50 +0000 2024","0","@ulalaphi @xxabyxz @xojolx @qwonidin Trs yg menghasilkan anak2 smu SPT itu hasil dr menteri Anies yg TS puja puji. Sementara menteri yg dihujat kurikulumnya baru bbrp bln jalan. Kira2 siapa yg monyet.. elu hasil kurikulum mana koq gampang monyet2in org? ","1853220319793742294","","ablephi","in","","0","0","0","https://x.com/PickHokiwanava/status/1853220319793742294","1580125725364928513","PickHokiwanava"
