"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username"""
"1840718696492515481,""Mon Sep 30 11:41:50 +0000 2024"",""0"",""ini kenapa yaa udah tadi abis perpanjang kartu debit mandiri yang exp tapi pas aktivasi di livin gak berhasil terus @mandiricare @bankmandiri https://t.co/esAiLktoAw"",""1840718696492515481"",""https://pbs.twimg.com/media/GYuL4aNawAA51DG.jpg"","""",""in"","""",""1"",""4"",""0"",""https://x.com/Selleyvea3/status/1840718696492515481"",""1331463715804246016"",""Selleyvea3"""
"1840718434340057332,""Mon Sep 30 11:40:48 +0000 2024"",""2"",""Guys bagi siapa pun yg liat e money Livin mandiri di ITB Jatinangor kayak gini bisa dm aku dong punya gw ilang soalnya aku lupa no nya brp tapi isinya sekitar 390-420rb lah. Pls dm aku ya moga gk jatoh ato di curi di gedebage sih https://t.co/McpSTc44WF"",""1840718434340057332"",""https://pbs.twimg.com/media/GYuLqT6bEAAViiX.jpg"","""",""in"","""",""2"",""2"",""7"",""https://x.com/HigurashiKageya/status/1840718434340057332"",""1370042607254925314"",""HigurashiKageya"""
"1840675829808041994,""Mon Sep 30 10:16:45 +0000 2024"",""1"",""@bayumaul_i Bukan user livin mandiri jdi egk tau tp mirip bgt emang sm pny sblh"",""1840697281714225205"","""",""bayumaul_i"",""in"",""Yogyakarta, Indonesia"",""0"",""0"",""0"",""https://x.com/theonlywaa_/status/1840697281714225205"",""1410100528709701637"",""theonlywaa_"""
"1840689321377943621,""Mon Sep 30 09:45:07 +0000 2024"",""0"",""sore jog mau nanya donk. aku kan kemaren daftar akun livin mandiri tp lama bgt dah berhari gak jadi . singkat kata app nya aku uninstal dan besoknya aku dapet email klo pendaftaranku berhasil. tp aku bingung ini cara loginnya gmn ya? tia"",""1840689321377943621"","""","""",""in"",""SEND MENFESS LEWAT XFESS"",""0"",""2"",""0"",""https://x.com/jogjamfs/status/1840689321377943621"",""1106468786016649217"",""jogjamfs"""
"1840687088296927392,""Mon Sep 30 09:36:14 +0000 2024"",""2"",""Tampilan Livin Mandiri yang baru ribet ah ."",""1840687088296927392"","""","""",""in"",""Medan"",""0"",""0"",""1"",""https://x.com/graciadonata/status/1840687088296927392"",""60069532"",""graciadonata"""
"1840681964594192429,""Mon Sep 30 09:15:53 +0000 2024"",""0"",""guys siapa pk livin mandiri pls PLEASE"",""1840681964594192429"","""","""",""in"","""",""0"",""2"",""0"",""https://x.com/kihhiah/status/1840681964594192429"",""1133860818888474624"",""kihhiah"""
"1840675165287711157,""Mon Sep 30 08:48:52 +0000 2024"",""0"",""@bankmandiri sore mau nanya jika kita ganti hape apakah pemindahan akun livin mandiri bisa dilakukan dan apa saja syaratnya?"",""1840675165287711157"","""",""bankmandiri"",""in"","""",""1"",""3"",""0"",""https://x.com/masbagoes_20/status/1840675165287711157"",""1284434762896031745"",""masbagoes_20"""
"1840674509717971231,""Mon Sep 30 08:46:15 +0000 2024"",""0"",""@mandiricare cara cek saldo tabungan rencana di livin mandiri skrg dimana ya? Tampilannya berubah. Udah nyari2 gak ketemu"",""1840674509717971231"","""",""mandiricare"",""in"","""",""4"",""18"",""0"",""https://x.com/Aurora13023055/status/1840674509717971231"",""1440880725327106054"",""Aurora13023055"""
"1840673130362409031,""Mon Sep 30 08:40:46 +0000 2024"",""0"",""Tampilan livin mandiri berubah skali"",""1840673130362409031"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/puppyminnie12/status/1840673130362409031"",""1523883564076793856"",""puppyminnie12"""
"1840669311041687831,""Mon Sep 30 08:25:36 +0000 2024"",""2"",""Njay lucu juga avatar livin mandiri wkwk Download di sini https://t.co/QHdAhLi82X https://t.co/Oc3dpeEWaM"",""1840669311041687831"",""https://pbs.twimg.com/media/GYte-8xaQAAM1OS.jpg"","""",""in"",""Minor DNI"",""0"",""1"",""1"",""https://x.com/roadsterxyz/status/1840669311041687831"",""2348251699"",""roadsterxyz"""
"1840665000983367915,""Mon Sep 30 08:08:28 +0000 2024"",""0"",""uwawwww tampilannya livin mandiri baru ternyata"",""1840665000983367915"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/svtbangs/status/1840665000983367915"",""1452260279077769217"",""svtbangs"""
"1840662033517486400,""Mon Sep 30 07:56:41 +0000 2024"",""0"",""Akhirnya Livin' by Mandiri update UI "",""1840662033517486400"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/KhrisnaIbnu/status/1840662033517486400"",""161178018"",""KhrisnaIbnu"""
"1840656193666396432,""Mon Sep 30 07:33:28 +0000 2024"",""0"",""UI livin mandiri semakin membingungkan saja"",""1840656193666396432"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/jippooo_/status/1840656193666396432"",""1320360723852136449"",""jippooo_"""
"1840645474782736697,""Mon Sep 30 06:50:53 +0000 2024"",""3"",""Top Up token listrik pake Livin Mandiri @mandiricare Unsuccesful tapi saldo tetep kepotong dan belom balik. Ini transaksi aneh pertama setelah Livin punya tampilan baru. #LivinMandiri"",""1840645474782736697"","""","""",""in"",""Jakarta, Indonesia"",""5"",""20"",""0"",""https://x.com/Bitdance/status/1840645474782736697"",""512055483"",""Bitdance"""
"1840643717671350295,""Mon Sep 30 06:43:54 +0000 2024"",""1"",""Ndak suka dgn tampilan Livin Mandiri yg baru"",""1840643717671350295"","""","""",""in"",""Jakarta Capital Region"",""0"",""0"",""0"",""https://x.com/farhanwys/status/1840643717671350295"",""352186269"",""farhanwys"""
"1840642567668744280,""Mon Sep 30 06:39:20 +0000 2024"",""0"",""buka livin mandiri tampilan baru spt buka app dana"",""1840642567668744280"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/nasywamendes/status/1840642567668744280"",""1104032769116499968"",""nasywamendes"""
"1840631650394464671,""Mon Sep 30 05:55:57 +0000 2024"",""0"",""ini kenapa livin gk bisa dibuka siih drtd @mandiri"",""1840631650394464671"","""","""",""in"",""Indonesia"",""0"",""0"",""0"",""https://x.com/s_ristiyana/status/1840631650394464671"",""176734328"",""s_ristiyana"""
"1840619833454653561,""Mon Sep 30 05:24:52 +0000 2024"",""2"",""Kalian kalo mau jualan jangan jorok gini donk. Gw gak pernah ngaktifin kartu kredit gak minta dipasang di livin jugak karna gw lg buru2 maen klik bayar jadi kepencet. Cuma buat pembayaran 4200 doank konyol sih. Waktu gw kebuang 1 jam kudu ke bank mandiri ditelpon susah!!! https://t.co/qEek3thCBm"",""1840623827400679598"",""https://pbs.twimg.com/media/GYs1nEIaAAA_TE_.jpg"",""mirazh_me"",""in"",""VALHALLA"",""0"",""1"",""1"",""https://x.com/mirazh_me/status/1840623827400679598"",""1480852322"",""mirazh_me"""
"1840619833454653561,""Mon Sep 30 05:09:00 +0000 2024"",""0"",""Woy @mandiricare @bankmandiri gw gak pernah setuju ya ama @mandiricard lo tapi ujug2 dipasang ada kartu kredit di livin mandiri gw. Lu ngejebak gw ya. Gw gak ngeh transaksi Qris jadi kepencet. Mandiri ngejebak pelanggan ini mah"",""1840619833454653561"","""","""",""in"",""VALHALLA"",""0"",""7"",""0"",""https://x.com/mirazh_me/status/1840619833454653561"",""1480852322"",""mirazh_me"""
"1840617763397853222,""Mon Sep 30 05:00:46 +0000 2024"",""0"",""demi apapun tampilian terbaru livin mandiri jele anjr"",""1840617763397853222"","""","""",""in"",""wonwoo 사랑"",""0"",""5"",""0"",""https://x.com/cewonnn/status/1840617763397853222"",""1445050707325841410"",""cewonnn"""
"1840616534290653327,""Mon Sep 30 04:55:53 +0000 2024"",""0"",""ini livin mandiri kenapa UI nya jadi kayak DANA kocak"",""1840616534290653327"","""","""",""in"","""",""0"",""1"",""0"",""https://x.com/kuuuhhpendragon/status/1840616534290653327"",""1706494428217823232"",""kuuuhhpendragon"""
"1840603570598826187,""Mon Sep 30 04:04:22 +0000 2024"",""0"",""Aplikasi livin mandiri lagi error kah min? Dari tadi mau log in ga bisa @mandiricare"",""1840603570598826187"","""","""",""in"","""",""4"",""15"",""0"",""https://x.com/martabaktldr/status/1840603570598826187"",""1621539852624998402"",""martabaktldr"""
"1840602983496593610,""Mon Sep 30 04:02:02 +0000 2024"",""0"",""APASI INI LIVIN MANDIRI GANTI TAMPILAN JD REPOT BGT AAAAAAARGHHH"",""1840602983496593610"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/shiningwoo/status/1840602983496593610"",""77404437"",""shiningwoo"""
"1840598008611909826,""Mon Sep 30 03:42:16 +0000 2024"",""1"",""livin mandiri tampilan barunya mirip mybca hehe"",""1840598008611909826"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/ayusailaa/status/1840598008611909826"",""133987648"",""ayusailaa"""
"1840596859053867034,""Mon Sep 30 03:37:42 +0000 2024"",""0"",""comel livin mandiri tampilannya"",""1840596859053867034"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/boedaklawo/status/1840596859053867034"",""1202857564691582981"",""boedaklawo"""
"1840595571318370750,""Mon Sep 30 03:32:35 +0000 2024"",""0"",""UI livin mandiri berubah lgi"",""1840595571318370750"","""","""",""in"",""Rants "",""0"",""0"",""0"",""https://x.com/joyilokal/status/1840595571318370750"",""834710467595558912"",""joyilokal"""
"1840577813314990396,""Mon Sep 30 02:22:01 +0000 2024"",""0"",""Bagi kalian yang ingin membuat SKHPN (Surat Keterangan Hasil Pemeriksaan Narkotika). Pembayaran bisa melalui Livin Mandiri BRI BANK DKI ShopeePay dan Tokopedia. Kalian jangan seperti kakak yang di atas yaa!!! #indonesiabersinar #aksitimurcegahnarkoba https://t.co/kUjGrAsYsq"",""1840577813314990396"",""https://pbs.twimg.com/ext_tw_video_thumb/1840577780662276096/pu/img/_f4FgBSwd45UuZbn.jpg"","""",""in"",""Jakarta"",""0"",""0"",""0"",""https://x.com/infobnnk_jaktim/status/1840577813314990396"",""1574665943355371520"",""infobnnk_jaktim"""
"1840577506459480171,""Mon Sep 30 02:20:48 +0000 2024"",""1"",""Cubanget Livin Mandiri bisa pake avatar https://t.co/JBHaVA7owJ"",""1840577506459480171"",""https://pbs.twimg.com/media/GYsLfL0aoAAxEAk.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/achullmausa/status/1840577506459480171"",""75318544"",""achullmausa"""
"1840574448610451822,""Mon Sep 30 02:08:39 +0000 2024"",""0"",""Ini jumping antara UI livin mandiri yg kemaren ama yg sekarang mayan jauh alias harus adaptasi lagi hadeh"",""1840574448610451822"","""","""",""in"",""Margonda City Emo"",""1"",""0"",""0"",""https://x.com/ameudea/status/1840574448610451822"",""1459728223286149123"",""ameudea"""
"1840569385658011828,""Mon Sep 30 02:00:14 +0000 2024"",""0"",""gue di telpon di suruh buka kai di tanyain akun nya nyambung ke bank apa dll sangat meyakinkan habis itu gue di suruh buka Livin mandiri dan ngikutin apa kata si penipu yang akhirnya gue disuruh top up ovo sebesar 445.121. mohon bantuannya @ovo_id https://t.co/RpjFyPaIEQ"",""1840572329048646111"",""https://pbs.twimg.com/media/GYsGx1ObEAEtte9.jpg"",""halodisinii"",""in"",""Central Java, Indonesia"",""0"",""1"",""0"",""https://x.com/halodisinii/status/1840572329048646111"",""1776254706391928832"",""halodisinii"""
"1840571071403319751,""Mon Sep 30 01:55:14 +0000 2024"",""26"",""Livin Mandiri ini lama-lama udah kek App Gojek/Grab."",""1840571071403319751"","""","""",""in"",""Pekanbaru, Indonesia"",""2"",""12"",""5"",""https://x.com/MrOngDedy/status/1840571071403319751"",""3168152976"",""MrOngDedy"""
"1840566727354339735,""Mon Sep 30 01:37:59 +0000 2024"",""0"",""Selain mendukung prestasi Timnas Indonesia hal ini juga memudahkan para Garuda Fans untuk membeli tiket pertandingan Timnas Indonesia dan menikmati berbagai konten eksklusif melalui fitur Sukha dari aplikasi Livin by Mandiri. #TimnasGarudaMandiri"",""1840566729816379459"","""",""inkamadiuntegas"",""in"",""Madiun"",""0"",""0"",""0"",""https://x.com/inkamadiuntegas/status/1840566729816379459"",""1601038361174900736"",""inkamadiuntegas"""
"1840566600120074603,""Mon Sep 30 01:37:28 +0000 2024"",""3"",""wuih livin mandiri updatenya lucu banget https://t.co/XF0yW8nrR7"",""1840566600120074603"",""https://pbs.twimg.com/media/GYsBj-GboAAUFGC.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/supernotnova/status/1840566600120074603"",""549305947"",""supernotnova"""
"1840562925297406354,""Mon Sep 30 01:22:52 +0000 2024"",""0"",""livin by mandiri bagus tampilannya skrg. lebih enak diliatttt"",""1840562925297406354"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/withkillua/status/1840562925297406354"",""1507260163950264322"",""withkillua"""
"1840557450199765418,""Mon Sep 30 01:01:06 +0000 2024"",""1"",""Livin Mandiri lagi problem kah? Gak bisa login ini @mandiricare"",""1840557450199765418"","""","""",""in"",""Jakarta Capital Region"",""1"",""10"",""0"",""https://x.com/ya2nk_dheophe/status/1840557450199765418"",""238369284"",""ya2nk_dheophe"""
"1840556385047859326,""Mon Sep 30 00:56:52 +0000 2024"",""0"",""Interface nya livin mandiri baru"",""1840556385047859326"","""","""",""in"",""Indonesia"",""0"",""0"",""0"",""https://x.com/ipengsky/status/1840556385047859326"",""113899321"",""ipengsky"""
"1840554285815476257,""Mon Sep 30 00:48:32 +0000 2024"",""0"",""Livin mandiri tampilannya berubah lagi "",""1840554285815476257"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/camleons/status/1840554285815476257"",""1455144317194948612"",""camleons"""
