"PLASTICS_APPLICATIONS","Plastics applications","TIME","Time","Value","Flag Codes","Flags"
"BUILDING_AND_CONSTRUCTION","Building & construction","2005","2005",48.135,,
"BUILDING_AND_CONSTRUCTION","Building & construction","2006","2006",51.134,,
"BUILDING_AND_CONSTRUCTION","Building & construction","2007","2007",53.952,,
"BUILDING_AND_CONSTRUCTION","Building & construction","2008","2008",51.366,,
"BUILDING_AND_CONSTRUCTION","Building & construction","2009","2009",52.633,,
"BUILDING_AND_CONSTRUCTION","Building & construction","2010","2010",57.087,,
"BUILDING_AND_CONSTRUCTION","Building & construction","2011","2011",59.35,,
"BUILDING_AND_CONSTRUCTION","Building & construction","2012","2012",61.545,,
"BUILDING_AND_CONSTRUCTION","Building & construction","2013","2013",64.123,,
"BUILDING_AND_CONSTRUCTION","Building & construction","2014","2014",65.204,,
"BUILDING_AND_CONSTRUCTION","Building & construction","2015","2015",66.882,,
"BUILDING_AND_CONSTRUCTION","Building & construction","2016","2016",68.234,,
"BUILDING_AND_CONSTRUCTION","Building & construction","2017","2017",71.105,,
"BUILDING_AND_CONSTRUCTION","Building & construction","2018","2018",74.301,,
"BUILDING_AND_CONSTRUCTION","Building & construction","2019","2019",76.893,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","1990","1990",5.251,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","1991","1991",5.444,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","1992","1992",5.787,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","1993","1993",6.024,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","1994","1994",6.608,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","1995","1995",6.858,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","1996","1996",7.349,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","1997","1997",7.89,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","1998","1998",8.245,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","1999","1999",8.861,,
