"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1850684914523586788","Sun Oct 27 23:59:47 +0000 2024","3","@txtfromIR @kemgelapan berapa poin yang layak ini pak menteri?","1850688879420170457","","txtfromIR","in","jakarta","0","0","0","https://x.com/adhitadhitsaja/status/1850688879420170457","3115529840","adhitadhitsaja"
"1850620881128882493","Sun Oct 27 23:57:19 +0000 2024","0","@tempodotco Menteri nya Yasonna dari PDIP kemarin itu ya ..???","1850688257140654199","","tempodotco","in","","0","0","0","https://x.com/Marvelmaliki2/status/1850688257140654199","1824257805278404608","Marvelmaliki2"
"1850397254126813623","Sun Oct 27 23:57:05 +0000 2024","0","@OposisiCerdas Menteri ini harus di awasi kalo mblelo langsung sikat","1850688197615055189","","OposisiCerdas","in","","0","0","0","https://x.com/3ld31/status/1850688197615055189","1603595224449658880","3ld31"
"1850661759046287635","Sun Oct 27 23:56:24 +0000 2024","0","@F_SyimaM kadang-kadang i confuse. Dia ni Menteri Pelancongan Malaysia ke Menteri Pelancongan PRC.","1850688025896071593","","F_SyimaM","in","","0","1","0","https://x.com/norashmsdn/status/1850688025896071593","387007055","norashmsdn"
"1850559985480249530","Sun Oct 27 23:55:23 +0000 2024","18","@Intel_Imut Gak usah pake wantim lah kan udah ada menteri stafsus intelijen","1850687770387435870","","Intel_Imut","in","","0","0","0","https://x.com/Michat71151/status/1850687770387435870","1809595730446958592","Michat71151"
"1850548043155919242","Sun Oct 27 23:54:08 +0000 2024","0","@norashmsdn Itulah sekarang ni nak beli buku pun fikir panjang. Saya dah lama juga tak rancak membeli macam anak menteri ","1850687457253269795","","norashmsdn","in","Johor Bahru, Johor","0","1","0","https://x.com/NurulNaziefa_/status/1850687457253269795","1041565368","NurulNaziefa_"
"1850097556912783396","Sun Oct 27 23:53:46 +0000 2024","0","@msaid_didu Ni orang keliatan kalo pingin jadi menteri sok tau g malu ya. Mending persiapkan diri utk bekal akhirat hwtrx nanti mau minta maaf ke siapa yg trus saja menghujat org Laen. Kasian bgt.","1850687362868945161","","msaid_didu","in","Praya, Indonesia","0","0","0","https://x.com/LJayaprana/status/1850687362868945161","896562167243079681","LJayaprana"
"1850532335428731205","Sun Oct 27 23:52:59 +0000 2024","1","@rahung @budimandjatmiko dulu bakar ban teriak2 karena lapar jadi anggota DPR jarang nongol saat sidang lompat pagar karena masih lapar pengen jadi menteri ciri khas: sok narasi tinggi tapi kosong seperti otaknya kerja nyatanya: adalah hasil yang tidak nyata Bukit (Tipu2) Algoritma","1850687167686905999","","rahung","in","","0","0","0","https://x.com/cungkringcutes/status/1850687167686905999","1749950453042040832","cungkringcutes"
"1850465783014715545","Sun Oct 27 23:50:01 +0000 2024","3","@notmelati Wahh sama kaya formasiku kak. Saat itu tesnya ga ada hitungan sih. Tapi terkait angka ada (hafalan). Misal luas minimal rumah untuk menteri atau skala yang digunakan untuk RDTR skala berapa dkk. Sama pengertian2 cuma beda 1 kata. Misal pengertian perumahan adlh ~ Jd hafalan","1850686422602424498","","notmelati","in","Malang, Jawa Timur","0","1","0","https://x.com/mhmuch/status/1850686422602424498","1352193831052083203","mhmuch"
"1850111499555270774","Sun Oct 27 23:49:06 +0000 2024","0","@OposisiCerdas Bukan beberapa menteri tp banyak bekas menteri Jokowi dan orang lingkaran Jokowi yg saat ini mengelilingi Prabowo tp sepertinya setia ke PupuPapa dan Papanya","1850686189793411130","","OposisiCerdas","in","","0","0","0","https://x.com/jogun8302002/status/1850686189793411130","1555155816243920896","jogun8302002"
"1850097556912783396","Sun Oct 27 23:48:35 +0000 2024","2","@msaid_didu Ada benarnya sebagai warning utk presiden agar lebih hati2. Tidak sekedar rekonsiliasi tp mengindahkan agenda pribadi/kelompok. Pemilihan menteri memang cenderung mengkhawatirkan. Publik merasa sebagian merupakan orang bermasalah terutama komitmen bulat mensejahterakan rakyat.","1850686059082051862","","msaid_didu","in","puerto querto","0","0","0","https://x.com/Sut4nMudo/status/1850686059082051862","1051125118703874048","Sut4nMudo"
"1850471390711022062","Sun Oct 27 23:44:10 +0000 2024","0","@tempodotco Ingat ada duri dalam daging dlm kabinet ini yakni menteri yg namanya HAIKAL ya pak @prabowo","1850684947746672686","","tempodotco","in","Indonesia","0","0","0","https://x.com/agent_pin/status/1850684947746672686","719200698","agent_pin"
"1850611224633119219","Sun Oct 27 23:41:45 +0000 2024","0","@AdameMedia Mr. Benjamin Netanyahu adalah PERDANA MENTERI negara Israel yang sah benar ?? Keluarga nya mau dari Poland atau dari kutub sekalipun itu urusan nya negara Israel dan bukan urusan mu !! Jadi sekarang apa masalah mu dengan status beliau ?? ","1850684341200076932","","AdameMedia","in","","0","0","0","https://x.com/hatewe369/status/1850684341200076932","3876250452","hatewe369"
"1850684133867200838","Sun Oct 27 23:40:56 +0000 2024","0","Langkah yang sangat diperlukan untuk memperkuat kolaborasi antar menteri di kabinet. #KebijakanKabinetMerahPutih","1850684133867200838","","","in","","0","0","0","https://x.com/siti_rhmaa/status/1850684133867200838","1819312176924184576","siti_rhmaa"
"1850373175454171625","Sun Oct 27 23:40:44 +0000 2024","0","@akbarfaizal68 Ujung2nya yg disalahkan Jokowi kemana menkopolhukam (Mahfud) dan menteri Hukum dan Ham (Yosona)? Apa kerja anda selama menjabat?","1850684084760269154","","akbarfaizal68","in","","0","0","0","https://x.com/ManjaKakek/status/1850684084760269154","1150433016918884352","ManjaKakek"
"1850644078209519704","Sun Oct 27 23:40:08 +0000 2024","160","@KemenperinRI Btw kebanyakan menteri pejabat bahkan jokowi pernah pake seragam pp apa lagi pas pemilu ya karena suara ormas itu sexy","1850683933673091326","","KemenperinRI","in","kedaton","1","0","4","https://x.com/hamba_sahaaya/status/1850683933673091326","1223853150727094272","hamba_sahaaya"
"1850683723999789311","Sun Oct 27 23:39:18 +0000 2024","0","Meroyan pula tu Menteri Pasola psl larangan merokok sendiri pun tiada sumbangan ","1850683723999789311","","","in","Kota Kinabalu, Sabah","0","0","0","https://x.com/coleynn/status/1850683723999789311","170216631","coleynn"
"1849985476943589708","Sun Oct 27 23:38:40 +0000 2024","1","@S4N_W1B1 Hahaha... Mestinya jgn diangkat jd menteri klo begini Blm kerja sdh minta tambahan duit gede.. aduh ","1850683565534855408","","S4N_W1B1","in","","0","0","1","https://x.com/Raphael61561345/status/1850683565534855408","1563374458114809856","Raphael61561345"
"1850487547232981116","Sun Oct 27 23:34:56 +0000 2024","0","@alisyarief Idealnya si Fufufafa dan menteri era Mulyono plus dari PSI di tempatkan di IKN. ","1850682625079521661","","alisyarief","in","Ev deģiştir","0","0","0","https://x.com/Geusan1/status/1850682625079521661","1914512449","Geusan1"
"1850093780243972104","Sun Oct 27 23:32:36 +0000 2024","0","@Tan_Mar3M Emang lo ikut ditegur ?? Ngga kan ?? Lha terus kenapa lo yg sewooot ?? Wong menteri nya aja yang ditegur ngga sewot kog !! Bocor alus luh tan.. ","1850682038778806566","","Tan_Mar3M","in","","0","0","0","https://x.com/hatewe369/status/1850682038778806566","3876250452","hatewe369"
"1850681534921199619","Sun Oct 27 23:30:36 +0000 2024","0","Para menteri Kabinet Merah Putih memiliki semangat tinggi untuk kemajuan. #KebijakanKabinetMerahPutih","1850681534921199619","","","in","","0","0","0","https://x.com/sdirman_slamet/status/1850681534921199619","1703615118263939072","sdirman_slamet"
"1849985476943589708","Sun Oct 27 23:30:32 +0000 2024","0","@Kane29Kane @S4N_W1B1 Ya tetep nggak cocok dg backgroundnya utk pegang menteri bidang HAM. Tapi kalau utk alasan keterwakilan bolehlah kalau diangkat menteri urusan yg lain.","1850681516025893115","","Kane29Kane","in","Indonesia","0","0","0","https://x.com/Dhien2/status/1850681516025893115","45323417","Dhien2"
"1850093780243972104","Sun Oct 27 23:30:23 +0000 2024","0","@Tan_Mar3M Bekingannya presiden emang para menteri merah putih berani .","1850681478323286168","","Tan_Mar3M","in","Indonesia","0","0","0","https://x.com/norselmaranden/status/1850681478323286168","3276421147","norselmaranden"
