"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1840644019329605797","Tue Oct 01 23:39:59 +0000 2024","0","@jembermfs Saya pakai Livin by Mandiri sman cepet","1841261811884245331","","jembermfs","in","Indonesia, Jember","0","0","0","https://x.com/furqongg/status/1841261811884245331","706021747","furqongg"
"1841260839854358856","Tue Oct 01 23:36:07 +0000 2024","0","omg skrg gue jadi livin user brb mau cari promoan mandiri. trims mandiri krn km semua aku dirayakan xixi","1841260839854358856","","","in","","0","0","0","https://x.com/donutsbux/status/1841260839854358856","1075553355265503233","donutsbux"
"1841070828739494304","Tue Oct 01 23:35:59 +0000 2024","0","@mengaharubiruu gua buka livin mandiri dah serius","1841260802982232553","","mengaharubiruu","in","DKI Jakarta, Indonesia","0","1","0","https://x.com/oceanpudle/status/1841260802982232553","1648261013954007040","oceanpudle"
"1840786624713781462","Tue Oct 01 22:10:36 +0000 2024","0","@dededeannn @mazzini_gsp ANGKOT88 berharap orang-orang lebih menghargai kemampuan daripada sekadar gelar akademis belaka. #LivinMandiri","1841239319262163205","","dededeannn","in","","0","0","0","https://x.com/Thien_nhi_hai/status/1841239319262163205","1838482315879813123","Thien_nhi_hai"
"1841237693105389936","Tue Oct 01 22:04:09 +0000 2024","0","Livin Mandiri asli ya jelek banget tampilan lu ","1841237693105389936","","","in","","0","0","0","https://x.com/bebanyusahin/status/1841237693105389936","1446269516506230784","bebanyusahin"
"1841207878243533025","Tue Oct 01 20:05:40 +0000 2024","0","ini kenapa eror semua dah pas lagi butuh ga mytelkomsel livin mandiri hadeh","1841207878243533025","","","in","","0","1","0","https://x.com/JayDjoo/status/1841207878243533025","705194994873675776","JayDjoo"
"1841180854401581100","Tue Oct 01 18:18:17 +0000 2024","0","Livin Mandiri update baru gajelas bener","1841180854401581100","","","in","","0","0","0","https://x.com/fadelmikrom/status/1841180854401581100","59058701","fadelmikrom"
"1841179320146149660","Tue Oct 01 18:12:12 +0000 2024","0","@IndiHomeCare bagaimana caranya membayar tagihan inet lewat livin Mandiri mhn infonya tmks","1841179320146149660","","IndiHomeCare","in","","0","1","0","https://x.com/MusimLiburan/status/1841179320146149660","1809844278904123394","MusimLiburan"
"1841178443716968465","Tue Oct 01 18:08:43 +0000 2024","0","Anjir livin mandiri jelek banget si tampilan barunya alay dan ruwet ","1841178443716968465","","","in","MDNI, DNFF","0","0","0","https://x.com/yemim/status/1841178443716968465","892290009826435072","yemim"
"1841173922567578090","Tue Oct 01 17:50:45 +0000 2024","0","inovasi tergagal saat ini : livin by mandiri","1841173922567578090","","","in","","0","0","0","https://x.com/bluvviee/status/1841173922567578090","1706832783812055040","bluvviee"
"1841166615313895805","Tue Oct 01 17:21:42 +0000 2024","0","Sumpah pusing bgt liat tampilan menu livin mandiri yang baru","1841166615313895805","","","in","Yogyakarta","0","0","0","https://x.com/chickencheezyy/status/1841166615313895805","558350242","chickencheezyy"
"1841165701245214859","Tue Oct 01 17:18:05 +0000 2024","0","Selebrasi HUT Mandiri ke-26 Bersama Promo yang Kamu Suka di Fitur Livin' Sukha!","1841165701245214859","","","in","Kabupaten Jayawijaya","0","0","0","https://x.com/Papuapikiran1/status/1841165701245214859","1772855005357412352","Papuapikiran1"
"1840990063066521698","Tue Oct 01 17:06:47 +0000 2024","0","@sufisijawara @txtdrkuliner Mereka kayak naik ANGKOT88 review tempat tapi lupa esensi makanan. #LivinMandiri ","1841162858295689387","","sufisijawara","in","","0","0","0","https://x.com/uc_vu1336/status/1841162858295689387","1824779558387920896","uc_vu1336"
"1841162638707081692","Tue Oct 01 17:05:54 +0000 2024","0","Setelah pembaruan User Interface dari aplikasi Livin Mandiri jadi warna-warni gak karuan jadi jelek @mandiricare","1841162638707081692","","","in","Surakarta, Jawa Tengah","0","2","0","https://x.com/WidodoFebriU/status/1841162638707081692","1071441463404195846","WidodoFebriU"
